,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나,출연,평점
0,1,명량,김한민,씨제이이엔엠,2014-07-30,장편,한국,1587,135748398910,17613682,"33,121,225,810","4,163,666",사극,15세관람가,일반영화,2014,7,여름,215068958,0,"['최민식', '류승룡', '조진웅']",8.44
1,2,극한직업,이병헌,씨제이이엔엠,2019-01-23,장편,한국,1978,139647979516,16264944,"31,858,660,536","3,638,287",코미디,15세관람가,일반영화,2019,1,겨울,226678777,0,"['류승룡', '이하늬', '진선규', '이동휘', '공명']",8.51
2,3,신과함께-죄와 벌,김용화,롯데엔터테인먼트,2017-12-20,장편,한국,1912,115698654137,14410754,"27,530,825,087","3,346,172",판타지,12세관람가,일반영화,2017,12,겨울,219876227,0,"['하정우', '차태현', '주지훈', '김향기', '김동욱', '마동석']",7.83
3,4,국제시장,윤제균,씨제이이엔엠,2014-12-17,장편,한국,966,110828014630,14245998,"25,842,519,330","3,233,946",드라마,12세관람가,일반영화,2014,12,겨울,215068958,0,"['황정민', '김윤진', '오달수', '정진영']",9.02
4,5,어벤져스: 엔드게임,안소니 루소,월트디즈니스튜디오스코리아,2019-04-24,장편,미국,2835,122182694160,13934592,"33,577,136,860","3,597,963",액션,12세관람가,일반영화,2019,4,봄,226678777,0,"['로버트 다우니 주니어', '크리스 에반스', '크리스 헴스워스', '마크 러팔로', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '폴 러드', '브리 라슨', '카렌 길런', '브래들리 쿠퍼', '조슈 브롤린']",9.38
5,6,겨울왕국 2,제니퍼 리,월트디즈니스튜디오스코리아,2019-11-21,장편,미국,2648,114810421450,13747792,"28,824,682,580","3,225,974",애니메이션,전체관람가,일반영화,2019,11,가을,226678777,0,"['크리스틴 벨', '이디나 멘젤']",8.69
6,7,아바타,제임스 카메론, 해리슨앤컴퍼니,2009-12-17,장편,미국,912,128447097523,13624328,"40,547,523,000","3,993,374",SF,12세관람가,독립/예술영화,2009,12,겨울,155398654,0,"['샘 워싱턴', '조 샐다나', '시고니 위버', '스티븐 랭']",9.08
7,8,베테랑,류승완,씨제이이엔엠,2015-08-05,장편,한국,1064,105024756250,13395400,"26,766,369,950","3,290,366",액션,15세관람가,일반영화,2015,8,여름,217299523,0,"['황정민', '유아인', '유해진', '오달수']",9.01
8,10,도둑들,최동훈,쇼박스,2012-07-25,장편,한국,1072,93665568500,12983330,"26,089,426,500","3,468,906",액션,15세관람가,일반영화,2012,7,여름,194890587,0,"['김윤석', '김혜수', '이정재', '전지현', '임달화', '김해숙', '오달수', '김수현', '이신제', '증국상']",7.65
9,11,7번방의 선물,이환경,넥스트엔터테인먼트월드,2013-01-23,장편,한국,787,91431914670,12811206,"22,800,931,670","3,070,053",코미디,15세관람가,일반영화,2013,1,겨울,213351030,0,"['류승룡', '박신혜', '갈소원', '오달수', '박원상', '김정태', '정만식', '김기천']",8.83
10,12,암살,최동훈,쇼박스,2015-07-22,장편,한국,1519,98463132781,12705700,"25,306,651,181","3,155,960",액션,15세관람가,일반영화,2015,7,여름,217299523,0,"['전지현', '이정재', '하정우']",8.98
11,13,범죄도시2,이상용, 에이비오엔터테인먼트,2022-05-18,장편,한국,2498,131293353478,12692959,"29,072,759,869","2,755,760",범죄,15세관람가,일반영화,2022,5,봄,112805094,1,"['마동석', '손석구', '최귀화']",9.3
12,14,알라딘,가이 리치,월트디즈니스튜디오스코리아,2019-05-23,장편,미국,1311,106983620359,12555894,"30,218,911,039","3,377,404",어드벤처,전체관람가,일반영화,2019,5,봄,226678777,0,"['메나 마수드', '윌 스미스', '나오미 스콧']",9.38
